"Date","Time","Open","High","Low","Close","Vol","OI"
05/20/2017,06:59,113.747,114.489,113.362,114.273,0,0
05/23/2017,06:59,113.938,114.892,113.833,114.318,0,0
05/24/2017,06:59,114.221,114.763,113.848,114.501,0,0
05/25/2017,06:59,114.424,114.852,114.351,114.528,0,0
05/26/2017,06:59,114.546,115.159,114.451,114.909,0,0
05/27/2017,06:59,114.864,114.945,113.937,114.226,0,0
05/30/2017,06:59,113.936,114.452,113.763,113.786,0,0
05/31/2017,06:59,113.695,113.995,113.028,113.703,0,0
06/01/2017,06:59,113.663,114.432,113.479,114.429,0,0
06/02/2017,06:59,114.373,114.870,114.279,114.599,0,0
06/03/2017,06:59,114.530,115.026,114.458,114.678,0,0
06/06/2017,06:59,114.366,114.771,114.339,114.436,0,0
06/07/2017,06:59,114.411,114.501,113.288,113.719,0,0
06/08/2017,06:59,113.668,113.924,113.091,113.819,0,0
06/09/2017,06:59,113.629,114.142,113.398,113.708,0,0
06/10/2017,06:59,113.658,114.143,113.275,113.765,0,0
06/13/2017,06:59,113.760,113.959,113.128,113.476,0,0
06/14/2017,06:59,113.436,114.094,113.304,113.594,0,0
06/15/2017,06:59,113.556,113.808,112.580,112.832,0,0
06/16/2017,06:59,112.794,113.791,112.482,113.730,0,0
06/17/2017,06:59,113.688,114.405,113.597,113.794,0,0
06/20/2017,06:59,113.878,114.490,113.694,114.302,0,0
06/21/2017,06:59,114.251,114.655,114.114,114.285,0,0
06/22/2017,06:59,114.275,114.617,113.963,114.519,0,0
06/23/2017,06:59,114.457,114.593,114.027,114.543,0,0
06/24/2017,06:59,114.393,114.964,114.363,114.764,0,0
06/27/2017,06:59,114.611,115.093,114.578,115.003,0,0
06/28/2017,06:59,114.983,117.046,114.631,116.960,0,0
06/29/2017,06:59,116.860,117.196,116.073,117.023,0,0
06/30/2017,06:59,116.982,117.778,116.930,117.322,0,0
07/01/2017,06:59,117.245,117.406,116.594,117.199,0,0
07/04/2017,06:59,116.840,117.751,116.796,117.652,0,0
07/05/2017,06:59,117.620,117.728,117.037,117.299,0,0
07/06/2017,06:59,117.243,117.780,117.001,117.468,0,0
07/07/2017,06:59,117.423,117.893,116.999,117.832,0,0
07/08/2017,06:59,117.749,118.415,117.675,118.047,0,0
07/11/2017,06:59,118.067,118.596,117.952,118.078,0,0
07/12/2017,06:59,118.040,118.355,117.816,118.207,0,0
07/13/2017,06:59,118.186,118.241,117.174,117.217,0,0
07/14/2017,06:59,117.165,117.628,116.796,117.117,0,0
