"Date","Close"
20180308,21368.07
20180309,21469.20
20180312,21824.03
20180313,21968.10
20180314,21777.29
20180315,21803.95
20180316,21676.51
20180319,21480.90
20180320,21380.97
20180322,21591.99
20180323,20617.86
20180326,20766.10
20180327,21317.32
20180328,21031.31
20180329,21159.08
20180330,21454.30
20180402,21388.58
20180403,21292.29
20180404,21319.55
20180405,21645.42
20180406,21567.52
20180409,21678.26
20180410,21794.32
20180411,21687.10
20180412,21660.28
20180413,21778.74
20180416,21835.53
20180417,21847.59
20180418,22158.20
20180419,22191.18
20180420,22162.24
20180423,22088.04
20180424,22278.12
20180425,22215.32
20180426,22319.61
20180427,22467.87
20180501,22508.03
20180502,22472.78
20180507,22467.16
20180508,22508.69
20180509,22408.88
20180510,22497.18
20180511,22758.48
20180514,22865.86
20180515,22818.02
20180516,22717.23
20180517,22838.37
20180518,22930.36
20180521,23002.37
20180522,22960.34
20180523,22689.74
20180524,22437.01
20180525,22450.79
20180528,22481.09
20180529,22358.43
20180530,22018.52
20180531,22201.82
20180601,22171.35
20180604,22475.94
20180605,22539.54
20180606,22625.73
20180607,22823.26
20180608,22694.50
20180611,22804.04
20180612,22878.35
20180613,22966.38
20180614,22738.61
20180615,22851.75
20180618,22680.33
20180619,22278.48
20180620,22555.43
20180621,22693.04
20180622,22516.83
20180625,22338.15
20180626,22342.00
20180627,22271.77
20180628,22270.39
20180629,22304.51
20180702,21811.93
20180703,21785.54
20180704,21717.04
20180705,21546.99
20180706,21788.14
20180709,22052.18
20180710,22196.89
20180711,21932.21
20180712,22187.96
20180713,22597.35
20180717,22697.36
20180718,22794.19
20180719,22764.68
20180720,22697.88
20180723,22396.99
20180724,22510.48
20180725,22614.25
20180726,22586.87
20180727,22712.75
20180730,22544.84
20180731,22553.72
20180801,22746.70
20180802,22512.53
20180803,22525.18
20180806,22507.32
20180807,22662.74
20180808,22644.31
20180809,22598.39
20180810,22298.08
20180813,21857.43
20180814,22356.08
20180815,22204.22
20180816,22192.04
20180817,22270.38
20180820,22199.00
20180821,22219.73
20180822,22362.55
20180823,22410.82
20180824,22601.77
20180827,22799.64
20180828,22813.47
20180829,22848.22
20180830,22869.50
20180831,22865.15
20180903,22707.38
20180904,22696.90
20180905,22580.83
20180906,22487.94
20180907,22307.06
20180910,22373.09
20180911,22664.69
20180912,22604.61
20180913,22821.32
20180914,23094.67
20180918,23420.54
20180919,23672.52
20180920,23674.93
20180921,23869.93
20180925,23940.26
20180926,24033.79
20180927,23796.74
20180928,24120.04
20181001,24245.76
20181002,24270.62
20181003,24110.96
20181004,23975.62
20181005,23783.72
20181009,23469.39
20181010,23506.04
20181011,22590.86
20181012,22694.66
20181015,22271.30
20181016,22549.24
20181017,22841.12
20181018,22658.16
20181019,22532.08
20181022,22614.82
20181023,22010.78
20181024,22091.18
20181025,21268.73
20181026,21184.60
20181029,21149.80
20181030,21457.29
20181031,21920.46
20181101,21687.65
20181102,22243.66
20181105,21898.99
20181106,22147.75
20181107,22085.80
20181108,22486.92
20181109,22250.25
20181112,22269.88
20181113,21810.52
20181114,21846.48
20181115,21803.62
20181116,21680.34
20181119,21821.16
20181120,21583.12
20181121,21507.54
20181122,21646.55
20181126,21812.00
20181127,21952.40
20181128,22177.02
20181129,22262.60
20181130,22351.06
20181203,22574.76
20181204,22036.05
20181205,21919.33
20181206,21501.62
20181207,21678.68
20181210,21219.50
20181211,21148.02
20181212,21602.75
20181213,21816.19
20181214,21374.83
20181217,21506.88
20181218,21115.45
20181219,20987.92
20181220,20392.58
20181221,20166.19
20181225,19155.74
20181226,19327.06
20181227,20077.62
20181228,20014.77
20190104,19561.96
20190107,20038.97
20190108,20204.04
20190109,20427.06
20190110,20163.80
20190111,20359.70
20190115,20555.29
20190116,20442.75
20190117,20402.27
20190118,20666.07
20190121,20719.33
20190122,20622.91
20190123,20593.72
20190124,20574.63
20190125,20773.56
20190128,20649.00
20190129,20664.64
20190130,20556.54

