"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年06月08日","3067.15","3,100.60","3,100.68","3,053.29","13.47B","-1.36%"
"2018年06月07日","3109.50","3,121.18","3,128.72","3,105.58","12.78B","-0.18%"
"2018年06月06日","3115.18","3,109.17","3,117.53","3,103.53","12.02B","0.03%"
"2018年06月05日","3114.21","3,088.01","3,114.77","3,080.05","11.87B","0.74%"
"2018年06月04日","3091.19","3,083.43","3,098.40","3,076.99","11.46B","0.52%"
"2018年06月01日","3075.14","3,084.75","3,102.09","3,059.79","12.99B","-0.66%"
"2018年05月31日","3095.47","3,061.83","3,098.08","3,054.27","14.05B","1.78%"
"2018年05月30日","3041.44","3,081.14","3,085.40","3,041.00","15.51B","-2.53%"
"2018年05月29日","3120.46","3,129.62","3,143.21","3,112.15","13.57B","-0.47%"
"2018年05月28日","3135.08","3,136.81","3,149.66","3,115.96","12.88B","-0.20%"
"2018年05月25日","3141.30","3,148.41","3,156.73","3,131.07","12.86B","-0.42%"
"2018年05月24日","3154.65","3,167.94","3,173.53","3,152.07","12.41B","-0.45%"
"2018年05月23日","3168.96","3,205.44","3,205.44","3,168.96","15.78B","-1.41%"
"2018年05月22日","3214.35","3,211.25","3,214.59","3,192.23","14.43B","0.02%"
"2018年05月21日","3213.84","3,206.18","3,219.74","3,203.34","16.45B","0.64%"
"2018年05月18日","3193.30","3,151.08","3,193.45","3,144.78","13.65B","1.24%"
"2018年05月17日","3154.28","3,170.01","3,172.77","3,148.62","11.40B","-0.48%"
"2018年05月16日","3169.57","3,180.23","3,191.95","3,166.81","13.05B","-0.71%"
"2018年05月15日","3192.12","3,180.42","3,192.81","3,164.52","12.45B","0.57%"
"2018年05月14日","3174.03","3,167.04","3,183.82","3,163.48","12.93B","0.34%"
"2018年05月11日","3163.26","3,179.80","3,180.76","3,162.21","13.07B","-0.35%"
"2018年05月10日","3174.41","3,169.05","3,176.14","3,155.53","13.30B","0.48%"
"2018年05月09日","3159.15","3,160.14","3,165.37","3,145.66","12.26B","-0.07%"
"2018年05月08日","3161.50","3,135.30","3,169.70","3,134.06","14.69B","0.79%"
"2018年05月07日","3136.64","3,094.90","3,136.84","3,091.66","13.89B","1.48%"
"2018年05月04日","3091.03","3,093.12","3,104.09","3,086.78","11.87B","-0.32%"
"2018年05月03日","3100.86","3,074.52","3,105.66","3,056.16","14.00B","0.64%"
"2018年05月02日","3081.18","3,087.41","3,097.60","3,064.76","13.42B","-0.03%"
"2018年04月27日","3082.23","3,082.41","3,088.03","3,049.91","13.12B","0.23%"
"2018年04月26日","3075.03","3,119.50","3,121.93","3,067.93","13.40B","-1.38%"
"2018年04月25日","3117.97","3,112.40","3,122.91","3,107.00","12.73B","-0.35%"
